Model,Accuracy,CV F1 Mean,CV F1 Std,Precision,Recall,F1,AUC
SVM (RBF),0.9318181818181818,0.9567165661902504,0.012697200217288804,0.88,1.0,0.9361702127659575,0.9152892561983471
Random Forest,0.9090909090909091,0.9506661460221831,0.011385148386614946,0.875,0.9545454545454546,0.9130434782608695,0.9214876033057852
XGBoost,0.9090909090909091,0.9328969482529853,0.01536329131176462,0.8461538461538461,1.0,0.9166666666666666,0.9276859504132231
Gradient Boosting,0.8863636363636364,0.9389286942847314,0.012531643445299155,0.8148148148148148,1.0,0.8979591836734694,0.9173553719008265
ANN,0.8863636363636364,,,0.8148148148148148,1.0,0.8979591836734694,0.9442148760330579
Logistic Regression,0.8636363636363636,0.8839735360916363,0.030946853706890265,0.7857142857142857,1.0,0.88,0.8099173553719008
