Model,Accuracy,CV F1 Mean,CV F1 Std,Precision,Recall,F1,AUC
SVM (RBF),0.8958958958958959,0.8972378091463733,0.0032204045793103046,0.8593939393939394,0.9465954606141522,0.9008894536213469,0.9619902364816421
ANN,0.8782115448782115,,,0.853841349156777,0.9125500667556742,0.8822200709906421,0.9308390729556241
Random Forest,0.8505171838505172,0.858659105686056,0.006297543518174547,0.8620689655172413,0.8344459279038718,0.8480325644504749,0.929813021765289
Gradient Boosting,0.8388388388388388,0.8455173507216163,0.006330637105798964,0.8750923872875093,0.7903871829105474,0.8305857593826728,0.9100962724593432
Logistic Regression,0.7037037037037037,0.7041266636655809,0.008855196409337648,0.7006578947368421,0.7109479305740988,0.705765407554672,0.7605074500044978
