Model,Accuracy,CV F1 Mean,CV F1 Std,Precision,Recall,F1,AUC
SVM (RBF),0.8995662328995663,0.8949818148076367,0.0055601542172424604,0.8647166361974405,0.9472630173564753,0.9041095890410958,0.9611347484883113
ANN,0.8735402068735402,,,0.8507836990595611,0.9058744993324432,0.8774652440995797,0.9291614970728149
Random Forest,0.8445111778445111,0.8454298871127086,0.00537663596798909,0.8200992555831266,0.8825100133511349,0.85016077170418,0.928316697112717
XGBoost,0.8321654988321655,0.8311607861803955,0.005915216841182501,0.8232618583495777,0.8457943925233645,0.8343760289759631,0.9121332334596004
Gradient Boosting,0.7967967967967968,0.8070446453185605,0.006539211950841239,0.7884490590525632,0.8110814419225634,0.7996051332675223,0.8838353294719845
Logistic Regression,0.667334000667334,0.673616371717976,0.010509246434834203,0.6682337139019476,0.664218958611482,0.6662202879142953,0.7306673518883529
