Model,Accuracy,CV F1 Mean,CV F1 Std,Precision,Recall,F1,AUC
SVM (RBF),0.9318181818181818,0.9567165661902504,0.012697200217288804,0.88,1.0,0.9361702127659575,0.9297520661157025
Random Forest,0.9318181818181818,0.9567165661902504,0.012697200217288804,0.88,1.0,0.9361702127659575,0.9028925619834711
XGBoost,0.9090909090909091,0.9395980943349365,0.021288929002793954,0.875,0.9545454545454546,0.9130434782608695,0.8966942148760331
Gradient Boosting,0.9090909090909091,0.9462146356883199,0.017128110150091316,0.8461538461538461,1.0,0.9166666666666666,0.9111570247933884
Logistic Regression,0.8636363636363636,0.9073684210526316,0.020138027862851543,0.7857142857142857,1.0,0.88,0.8677685950413223
ANN,0.8636363636363636,,,0.8076923076923077,0.9545454545454546,0.875,0.9070247933884297
